{'loss': '1.519', 'grad_norm': '29.12', 'learning_rate': '1.995e-05', 'epoch': '0.001179'}
{'loss': '1.66', 'grad_norm': '19.88', 'learning_rate': '1.995e-05', 'epoch': '0.001198'}
{'loss': '2.814', 'grad_norm': '50.75', 'learning_rate': '1.995e-05', 'epoch': '0.001217'}
{'loss': '1.918', 'grad_norm': '28', 'learning_rate': '1.994e-05', 'epoch': '0.001236'}
{'loss': '3.165', 'grad_norm': '82.5', 'learning_rate': '1.994e-05', 'epoch': '0.001256'}
{'loss': '1.303', 'grad_norm': '27.62', 'learning_rate': '1.994e-05', 'epoch': '0.001275'}
{'loss': '0.9677', 'grad_norm': '13.75', 'learning_rate': '1.993e-05', 'epoch': '0.001294'}
{'loss': '1.424', 'grad_norm': '28.62', 'learning_rate': '1.993e-05', 'epoch': '0.001314'}
{'loss': '1.314', 'grad_norm': '30.12', 'learning_rate': '1.992e-05', 'epoch': '0.001333'}
{'loss': '3.63', 'grad_norm': '46.75', 'learning_rate': '1.992e-05', 'epoch': '0.001352'}
{'loss': '0.9002', 'grad_norm': '64', 'learning_rate': '1.992e-05', 'epoch': '0.001372'}
{'loss': '0.06806', 'grad_norm': '17.5', 'learning_rate': '1.991e-05', 'epoch': '0.001391'}
{'loss': '1.451', 'grad_norm': '54.25', 'learning_rate': '1.991e-05', 'epoch': '0.00141'}
{'loss': '0.3425', 'grad_norm': '36', 'learning_rate': '1.99e-05', 'epoch': '0.00143'}
{'loss': '1.542', 'grad_norm': '21.88', 'learning_rate': '1.99e-05', 'epoch': '0.001449'}
{'loss': '0.6786', 'grad_norm': '82.5', 'learning_rate': '1.989e-05', 'epoch': '0.001468'}
{'loss': '1.251', 'grad_norm': '31', 'learning_rate': '1.989e-05', 'epoch': '0.001488'}
{'loss': '1.875', 'grad_norm': '62.5', 'learning_rate': '1.988e-05', 'epoch': '0.001507'}
{'loss': '1.241', 'grad_norm': '48.5', 'learning_rate': '1.988e-05', 'epoch': '0.001526'}
{'loss': '1.908', 'grad_norm': '43.75', 'learning_rate': '1.987e-05', 'epoch': '0.001546'}
{'loss': '0.5776', 'grad_norm': '52', 'learning_rate': '1.987e-05', 'epoch': '0.001565'}
{'loss': '1.164', 'grad_norm': '31.5', 'learning_rate': '1.986e-05', 'epoch': '0.001584'}
{'loss': '2.146', 'grad_norm': '29.88', 'learning_rate': '1.986e-05', 'epoch': '0.001604'}
{'loss': '1.494', 'grad_norm': '17.5', 'learning_rate': '1.985e-05', 'epoch': '0.001623'}
{'loss': '2.572', 'grad_norm': '224', 'learning_rate': '1.985e-05', 'epoch': '0.001642'}
{'loss': '1.463', 'grad_norm': '70.5', 'learning_rate': '1.984e-05', 'epoch': '0.001662'}
{'loss': '1.695', 'grad_norm': '16', 'learning_rate': '1.984e-05', 'epoch': '0.001681'}
{'loss': '0.9864', 'grad_norm': '20.38', 'learning_rate': '1.983e-05', 'epoch': '0.0017'}
{'loss': '2.494', 'grad_norm': '84.5', 'learning_rate': '1.982e-05', 'epoch': '0.001719'}
{'loss': '1.976', 'grad_norm': '60.75', 'learning_rate': '1.982e-05', 'epoch': '0.001739'}
{'loss': '1.169', 'grad_norm': '57', 'learning_rate': '1.981e-05', 'epoch': '0.001758'}
{'loss': '1.513', 'grad_norm': '20.5', 'learning_rate': '1.981e-05', 'epoch': '0.001777'}
{'loss': '1.453', 'grad_norm': '27.38', 'learning_rate': '1.98e-05', 'epoch': '0.001797'}
{'loss': '1.745', 'grad_norm': '20.12', 'learning_rate': '1.979e-05', 'epoch': '0.001816'}
{'loss': '2.352', 'grad_norm': '35.5', 'learning_rate': '1.979e-05', 'epoch': '0.001835'}
{'loss': '1.196', 'grad_norm': '16.88', 'learning_rate': '1.978e-05', 'epoch': '0.001855'}
{'loss': '1.276', 'grad_norm': '20.38', 'learning_rate': '1.977e-05', 'epoch': '0.001874'}
{'loss': '2.221', 'grad_norm': '29.5', 'learning_rate': '1.977e-05', 'epoch': '0.001893'}
{'loss': '1.173', 'grad_norm': '20.38', 'learning_rate': '1.976e-05', 'epoch': '0.001913'}
{'loss': '1.847', 'grad_norm': '78', 'learning_rate': '1.975e-05', 'epoch': '0.001932'}
{'loss': '1.416', 'grad_norm': '15.19', 'learning_rate': '1.974e-05', 'epoch': '0.001951'}
{'loss': '2.076', 'grad_norm': '75', 'learning_rate': '1.974e-05', 'epoch': '0.001971'}
{'loss': '1.33', 'grad_norm': '63.75', 'learning_rate': '1.973e-05', 'epoch': '0.00199'}
{'loss': '0.5227', 'grad_norm': '61.25', 'learning_rate': '1.972e-05', 'epoch': '0.002009'}
{'loss': '1.728', 'grad_norm': '33.25', 'learning_rate': '1.971e-05', 'epoch': '0.002029'}
